Reference;Merged;Mileage;Price
UA7357;2022 Datsun Go 1.2 Lux Auto;45 500 Km;179900
UA7367;2022 Nissan Almera 1.5 Acenta Auto;49 500 Km;229900
UA7372;2024 Nissan Magnite 1.0T Visia;1 500 Km;269900
UA7375;2022 Toyota Starlet 1.5 XR;19 500 Km;279900
UA7417;2021 Nissan Navara 2.5 DDTi PRO-4X 4X4 Auto Double-Cab;45 800 Km;609900
UA7427;2019 Nissan Navara 2.3D SE Auto Double-Cab;134 500 Km;399900
UA7432;2022 Nissan Magnite 1.0 Acenta;54 000 Km;249900
UA7436;2022 Toyota Corolla Quest 1.8 Plus;54 100 Km;269900
UA7437;2020 Mahindra KUV 100 1.2 K2+ NXT;89 100 Km;159900
UA7446;2023 Suzuki Baleno 1.5 GL;22 000 Km;239900
UA7448;2023 Nissan Navara 2.5 DDTi SE Auto Double-Cab;26 000 Km;499900
UA7454;2010 Mitsubishi Pajero 3.2 Di-Dc GLS SWB Auto;197 800 Km;269900
UE2345;2021 Nissan Magnite 1.0 Acenta Plus Auto;35 000 Km;279900
UE2353;2022 Nissan Magnite 1.0T Acenta Plus;26 200 Km;259900
UE2357;2020 Ford Figo 1.5 Trend 5-dr;65 000 Km;159900
UE2361;2023 Suzuki S-Presso 1.0 GL+;19 500 Km;154900
UE2362;2023 Toyota Urban Cruiser 1.5 XR;28 200 Km;299900
UE2364;2021 Suzuki Swift 1.2 GL;64 100 Km;189900
UE2365;2023 Mahindra XUV 300 1.2T | W6;24 600 Km;249900
UE2370;2017 Suzuki Ignis 1.2 GLX;119 000 Km;139900
UE2371;2017 Toyota Fortuner 2.8 GD-6 4x4 Auto;90 500 Km;479900
UF8585;2016 Ford Ranger 3.2 TDCi XLT 4x4 Auto Double-Cab;169 500 Km;329900
UF8658;2022 Ford EcoSport 1.0 EcoBoost Titanium Auto;5 800 Km;339900
UF8661;2024 Ford Ranger 2.0D Double Cab;50 Km;469900
UF8672;2019 Ford Ranger 2.0D Bi-Turbo Wildtrak 4x4 Auto Double-Cab;134 000 Km;479900
UF8674;2018 Ford Ranger 3.2 TDCi Wildtrak 4x4 Auto Double-Cab;158 000 Km;389900
UF8680;2023 Ford Ranger 2.0D XL Double Cab Auto;43 800 Km;549900
UF8685;2020 Ford Fiesta 1.0 EcoBoost Trend 5-dr;96 500 Km;239900
UF8690;2021 Volkswagen T-Roc 1.4 TSI Design Auto;67 000 Km;409900
UF8693;2019 Volkswagen Polo 1.0 TSI Highline Auto (85kW);119 000 Km;279900
UG5073;2023 Mazda CX-30 2.0 Active Auto;19 500 Km;379000
UG5181;2018 Opel Mokka X 1.4T Enjoy Auto;116 000 Km;199500
UG5183;2019 Suzuki Vitara 1.6 GL+ Auto;97 500 Km;224500
UG5192;2018 Ford Kuga 1.5 EcoBoost Trend Auto;93 000 Km;271500
UG5194;2021 Kia Seltos 1.6 EX+ Auto;50 000 Km;329500
UG5195;2018 Isuzu Mu-x 3.0D Auto;153 000 Km;339500
UG5200;2020 Mazda CX-5 2.0 Dynamic Auto;107 000 Km;339500
UG5201;2016 Mitsubishi ASX 2.0 GLX | Sport;82 000 Km;204000
UG5202;2020 Ford Everest 2.0D XLT Auto;97 000 Km;479500
UG5203;2008 Toyota Land Cruiser Prado 3.0 TDI VX Auto;226 500 Km;239900
UG5205;2016 Mazda BT-50 3.2 TDi SLE Double-Cab;146 000 Km;279500
UG5206;2019 Ford Ranger 2.2 TDCi Single-Cab;187 200 Km;219500
UG5209;2015 Mercedes-AMG GLA 45 AMG;87 000 Km;429500
UG5212;2021 Ford Ranger 2.0D FX4 4x4 Auto Double-Cab;79 500 Km;489500
UG5222;2016 Mazda BT-50 2.2 TDi SLE Double-Cab;131 000 Km;249500
UG5223;2014 Volkswagen Polo Vivo GP 1.4 Trendline;149 000 Km;129900
US1910;2016 Toyota Fortuner 2.4 GD-6 Raised Body Auto;142 000 Km;349900
